,0,1,2,3,4,5
72,23330,4746,Surface Pro 9,LA Warehouse,13,2025-05-09 20:00:00
73,24156,9123,Surface Pro 9,Houston Warehouse,316,2025-05-14 23:00:00
74,29310,3391,Microsoft HoloLens 2,Houston Warehouse,191,2025-07-13 14:00:00
75,22876,4650,Data Center Cooling Unit,LA Warehouse,355,2025-11-12 01:00:00
76,21958,8985,Surface Headphones 2,Dallas Data Center,200,2025-05-12 02:00:00
77,26259,7787,Xbox Series S Console,Atlanta Distribution Hub,169,2025-08-25 17:00:00
78,20092,2495,Xbox Elite Controller,Atlanta Distribution Hub,197,2025-11-25 03:00:00
79,21328,5249,Surface Go 3,Houston Warehouse,497,2025-07-24 21:00:00
80,28226,9151,Xbox Series S Console,Seattle Warehouse,429,2025-11-14 17:00:00
81,28207,9722,Surface Laptop 5,Chicago Warehouse,264,2025-07-25 02:00:00
82,26709,2377,Microsoft Modern Webcam,Dallas Data Center,283,2025-05-30 17:00:00
83,26547,4292,Surface Docking Station,LA Warehouse,122,2025-08-14 01:00:00
84,28119,5074,Surface Duo 2,Dallas Data Center,73,2025-08-23 02:00:00
85,22052,5537,Microsoft Modern Webcam,Dallas Data Center,423,2025-06-07 07:00:00
86,20564,7357,Azure Network Switch,San Francisco Data Center,262,2025-05-16 00:00:00
87,26883,7727,Data Center Cooling Unit,NYC Warehouse,309,2025-09-29 20:00:00
88,24732,8211,Azure Network Switch,Chicago Warehouse,401,2025-07-28 11:00:00
89,23023,9393,Surface Pen,Seattle Warehouse,220,2025-09-27 21:00:00
90,26427,1084,Azure GPU Node,Chicago Warehouse,40,2025-07-19 00:00:00
91,23426,2123,Azure Storage Array,NYC Warehouse,62,2025-10-07 07:00:00
92,25315,5622,Azure Rack Server,Chicago Warehouse,380,2025-06-24 17:00:00
93,20139,4902,Data Center Cooling Unit,Chicago Warehouse,286,2025-06-25 17:00:00
94,23272,1318,Surface Pro 9,Houston Warehouse,362,2025-08-17 18:00:00
95,20487,1043,Surface Go 3,Seattle Warehouse,453,2025-08-05 07:00:00
96,21825,7875,Microsoft Modern Webcam,Houston Warehouse,41,2025-11-03 23:00:00
97,28029,2199,Xbox Series S Console,Atlanta Distribution Hub,474,2025-09-10 10:00:00
98,27756,4533,Surface Pro 9,Chicago Warehouse,328,2025-06-03 23:00:00
99,22596,2749,Azure Storage Array,NYC Warehouse,463,2025-09-24 22:00:00
100,23109,1761,Azure Network Switch,Dallas Data Center,328,2025-06-04 05:00:00
101,21216,3992,Surface Headphones 2,Atlanta Distribution Hub,251,2025-11-25 03:00:00
102,22017,1824,Surface Headphones 2,Chicago Warehouse,295,2025-07-27 09:00:00
103,25421,7847,Microsoft Modern Webcam,Seattle Warehouse,85,2025-07-10 04:00:00
104,27219,5545,Surface Docking Station,Seattle Warehouse,389,2025-06-15 22:00:00
105,28409,5877,Xbox Elite Controller,LA Warehouse,114,2025-08-01 03:00:00
106,29685,2565,Azure Network Switch,Houston Warehouse,314,2025-05-07 04:00:00
107,23544,8055,Azure Storage Array,San Francisco Data Center,162,2025-05-05 11:00:00
108,24165,9352,Azure Network Switch,San Francisco Data Center,187,2025-09-04 00:00:00
109,24912,4661,Surface Pro 9,Chicago Warehouse,356,2025-11-02 18:00:00
110,26075,6405,Surface Go 3,Seattle Warehouse,132,2025-05-15 20:00:00
111,22805,2673,Azure Firewall Appliance,Atlanta Distribution Hub,359,2025-10-22 16:00:00
112,28917,2479,Microsoft Modern Webcam,NYC Warehouse,241,2025-09-11 20:00:00
113,26446,7408,Azure Storage Array,NYC Warehouse,57,2025-10-07 19:00:00
114,25913,1900,Xbox Series X Console,Seattle Warehouse,204,2025-06-12 05:00:00
115,27733,1071,Surface Go 3,Atlanta Distribution Hub,457,2025-06-30 06:00:00
116,22211,2106,Microsoft Audio Dock,Houston Warehouse,130,2025-05-02 23:00:00
117,26350,5929,Surface Docking Station,Atlanta Distribution Hub,446,2025-11-04 16:00:00
118,29081,4908,Surface Go 3,San Francisco Data Center,260,2025-10-04 13:00:00
119,24741,6443,Microsoft Audio Dock,Seattle Warehouse,402,2025-08-02 06:00:00
120,21422,9402,Xbox Elite Controller,Atlanta Distribution Hub,141,2025-06-23 14:00:00
121,26856,5237,Xbox Wireless Controller,Houston Warehouse,222,2025-08-02 02:00:00
122,28470,3265,Xbox Elite Controller,Atlanta Distribution Hub,217,2025-05-22 05:00:00
123,28402,4069,Data Center Cooling Unit,NYC Warehouse,168,2025-07-28 07:00:00
124,22486,3048,Surface Go 3,Houston Warehouse,396,2025-07-31 16:00:00
125,26732,2953,Surface Go 3,NYC Warehouse,281,2025-11-24 04:00:00
126,27877,7713,Surface Headphones 2,Chicago Warehouse,183,2025-11-03 01:00:00
127,26505,3234,Surface Duo 2,Seattle Warehouse,407,2025-11-01 16:00:00
128,22618,4157,Xbox Elite Controller,Atlanta Distribution Hub,111,2025-06-22 06:00:00
129,21518,7025,Azure GPU Node,Dallas Data Center,196,2025-08-19 14:00:00
130,29978,8190,Azure Network Switch,Atlanta Distribution Hub,424,2025-07-25 20:00:00
131,29344,6557,Azure GPU Node,Seattle Warehouse,228,2025-05-22 14:00:00
132,28146,2635,Xbox Series X Console,Chicago Warehouse,465,2025-05-07 06:00:00
133,22960,4288,Xbox Series X Console,Houston Warehouse,412,2025-05-17 14:00:00
134,23343,6220,Microsoft Modern Webcam,NYC Warehouse,446,2025-11-17 05:00:00
135,27870,5135,Surface Pen,Houston Warehouse,117,2025-08-02 23:00:00
136,20448,8538,Microsoft Modern Webcam,Seattle Warehouse,335,2025-06-19 20:00:00
137,27938,7965,Surface Pen,Dallas Data Center,43,2025-07-30 20:00:00
138,29888,6223,Xbox Elite Controller,Seattle Warehouse,282,2025-11-02 23:00:00
139,24550,3848,Azure GPU Node,LA Warehouse,169,2025-10-02 05:00:00
140,27067,2686,Azure Rack Server,San Francisco Data Center,205,2025-08-05 23:00:00
141,20230,1129,Xbox Series S Console,NYC Warehouse,107,2025-08-04 18:00:00
142,24468,8177,Xbox Series S Console,San Francisco Data Center,372,2025-08-22 13:00:00
143,26816,6413,Surface Pen,NYC Warehouse,443,2025-05-08 18:00:00
144,24252,2877,Microsoft HoloLens 2,Seattle Warehouse,415,2025-06-19 04:00:00
145,29757,2721,Microsoft Modern Webcam,San Francisco Data Center,429,2025-07-18 19:00:00
146,26331,8955,Surface Duo 2,San Francisco Data Center,205,2025-11-22 09:00:00
147,20276,6801,Surface Pen,Seattle Warehouse,118,2025-08-13 07:00:00
148,28779,5707,Azure GPU Node,Seattle Warehouse,316,2025-11-16 13:00:00
149,29584,6569,Azure Network Switch,Seattle Warehouse,210,2025-08-31 12:00:00
150,27426,5795,Azure Rack Server,Houston Warehouse,409,2025-08-12 22:00:00
151,27856,9889,Data Center Cooling Unit,Houston Warehouse,474,2025-10-11 08:00:00
152,23233,3314,Xbox Series X Console,Chicago Warehouse,375,2025-05-06 20:00:00
153,20816,8584,Azure Firewall Appliance,Seattle Warehouse,10,2025-09-19 01:00:00
154,26618,3657,Xbox Series X Console,Dallas Data Center,34,2025-05-04 01:00:00
155,27005,7791,Microsoft Modern Webcam,Seattle Warehouse,186,2025-10-04 00:00:00
156,24530,2299,Data Center Cooling Unit,Houston Warehouse,413,2025-08-22 13:00:00
157,26366,4101,Surface Duo 2,Houston Warehouse,114,2025-06-12 04:00:00
158,25127,5186,Surface Laptop 5,Seattle Warehouse,441,2025-10-30 17:00:00
159,28659,4244,Azure Storage Array,Chicago Warehouse,60,2025-06-24 12:00:00
160,22182,7619,Microsoft HoloLens 2,Dallas Data Center,315,2025-10-02 01:00:00
161,26085,5715,Xbox Elite Controller,Houston Warehouse,3,2025-07-12 00:00:00
162,29992,2525,Microsoft Audio Dock,Dallas Data Center,105,2025-10-03 10:00:00
163,27310,1886,Xbox Series X Console,Dallas Data Center,294,2025-07-23 20:00:00
164,22210,5297,Microsoft Modern Webcam,Dallas Data Center,356,2025-06-11 06:00:00
165,29952,4657,Xbox Series X Console,Houston Warehouse,52,2025-10-12 10:00:00
166,29184,1775,Azure GPU Node,Atlanta Distribution Hub,237,2025-08-24 04:00:00
167,22672,1022,Azure Storage Array,Atlanta Distribution Hub,123,2025-07-15 03:00:00
168,27824,3088,Xbox Elite Controller,LA Warehouse,37,2025-05-03 17:00:00
169,24538,8618,Microsoft Modern Webcam,LA Warehouse,267,2025-05-15 09:00:00
170,28459,4686,Azure Network Switch,San Francisco Data Center,181,2025-08-27 20:00:00
171,27578,2046,Azure Network Switch,San Francisco Data Center,254,2025-11-08 05:00:00
172,29596,5558,Surface Laptop 5,Dallas Data Center,311,2025-06-17 01:00:00
173,28781,7895,Surface Laptop 5,Seattle Warehouse,33,2025-07-11 01:00:00
174,25499,6188,Azure Storage Array,Dallas Data Center,464,2025-10-27 04:00:00
175,23200,4880,Microsoft Audio Dock,Houston Warehouse,424,2025-06-11 21:00:00
176,28428,7830,Surface Pen,San Francisco Data Center,343,2025-07-06 02:00:00
177,25416,4567,Surface Headphones 2,LA Warehouse,222,2025-09-25 22:00:00
178,26194,5517,Surface Laptop 5,Seattle Warehouse,65,2025-07-31 18:00:00
179,22860,7420,Surface Laptop 5,Atlanta Distribution Hub,224,2025-10-08 04:00:00
180,26568,5074,Xbox Wireless Controller,Dallas Data Center,33,2025-09-13 07:00:00
181,26709,8200,Microsoft Modern Webcam,NYC Warehouse,263,2025-11-25 14:00:00
182,22111,7150,Surface Laptop 5,Atlanta Distribution Hub,140,2025-11-17 05:00:00
183,23509,2417,Xbox Wireless Controller,NYC Warehouse,201,2025-09-29 03:00:00
184,24142,4733,Surface Go 3,Seattle Warehouse,224,2025-11-06 07:00:00
185,24762,1326,Microsoft HoloLens 2,Dallas Data Center,264,2025-11-25 02:00:00
186,20082,6267,Surface Duo 2,Dallas Data Center,78,2025-07-16 07:00:00
187,27574,6135,Microsoft HoloLens 2,LA Warehouse,173,2025-09-04 06:00:00
188,25739,5425,Microsoft Modern Webcam,Atlanta Distribution Hub,10,2025-08-05 13:00:00
189,23951,3775,Azure Network Switch,Dallas Data Center,300,2025-11-18 22:00:00
190,22849,5590,Surface Duo 2,Atlanta Distribution Hub,427,2025-06-28 17:00:00
191,25337,3152,Azure Storage Array,San Francisco Data Center,278,2025-09-11 23:00:00
192,27256,8065,Xbox Elite Controller,Dallas Data Center,367,2025-07-31 11:00:00
193,26189,7857,Xbox Series S Console,Dallas Data Center,245,2025-09-21 11:00:00
194,25359,8742,Microsoft Audio Dock,Atlanta Distribution Hub,182,2025-08-13 16:00:00
195,24954,2503,Microsoft Audio Dock,Chicago Warehouse,25,2025-08-14 11:00:00
196,23327,2147,Surface Headphones 2,Houston Warehouse,210,2025-07-23 02:00:00
197,29897,3885,Microsoft Modern Webcam,San Francisco Data Center,98,2025-07-07 16:00:00
198,25929,2921,Xbox Series S Console,Dallas Data Center,494,2025-10-11 13:00:00
199,25251,2600,Data Center Cooling Unit,LA Warehouse,132,2025-11-24 19:00:00
200,24342,4470,Data Center Cooling Unit,Atlanta Distribution Hub,124,2025-11-09 20:00:00
201,21073,8991,Surface Go 3,Houston Warehouse,480,2025-09-11 18:00:00
202,28613,3179,Surface Headphones 2,Atlanta Distribution Hub,258,2025-10-19 21:00:00
203,29611,5639,Data Center Cooling Unit,Dallas Data Center,407,2025-07-20 00:00:00
204,22160,3352,Azure GPU Node,LA Warehouse,471,2025-08-23 00:00:00
205,24558,6041,Surface Headphones 2,Seattle Warehouse,328,2025-05-18 19:00:00
206,27053,5502,Azure Rack Server,Houston Warehouse,180,2025-07-22 18:00:00
207,20562,9513,Microsoft Modern Webcam,Chicago Warehouse,122,2025-08-20 03:00:00
208,21836,2621,Surface Laptop 5,Dallas Data Center,180,2025-08-25 07:00:00
209,20594,4677,Surface Pen,San Francisco Data Center,168,2025-10-03 07:00:00
210,27630,2269,Surface Docking Station,San Francisco Data Center,256,2025-06-21 08:00:00
211,27976,8176,Microsoft Modern Webcam,Dallas Data Center,477,2025-07-18 19:00:00
212,23827,8816,Xbox Elite Controller,San Francisco Data Center,468,2025-11-21 12:00:00
213,21226,9331,Microsoft Audio Dock,Dallas Data Center,224,2025-07-07 18:00:00
214,24146,5471,Microsoft HoloLens 2,Seattle Warehouse,332,2025-05-25 04:00:00
215,22484,3837,Surface Docking Station,Atlanta Distribution Hub,455,2025-05-05 01:00:00
216,26583,4000,Surface Duo 2,Chicago Warehouse,486,2025-10-16 08:00:00
217,24785,4648,Surface Headphones 2,Houston Warehouse,323,2025-10-26 09:00:00
218,21047,6107,Xbox Series S Console,Atlanta Distribution Hub,224,2025-09-11 06:00:00
219,20289,9876,Surface Headphones 2,Dallas Data Center,375,2025-09-21 08:00:00
220,21333,7390,Surface Laptop 5,NYC Warehouse,393,2025-07-17 08:00:00
221,21792,8657,Microsoft Modern Webcam,Atlanta Distribution Hub,401,2025-10-14 23:00:00
222,29008,2535,Surface Go 3,Houston Warehouse,59,2025-05-15 01:00:00
223,23435,1823,Data Center Cooling Unit,Chicago Warehouse,63,2025-08-19 10:00:00
224,25264,8088,Xbox Wireless Controller,Houston Warehouse,458,2025-07-11 08:00:00
225,26222,7788,Xbox Wireless Controller,NYC Warehouse,46,2025-07-03 16:00:00
226,26480,5133,Surface Duo 2,Dallas Data Center,4,2025-08-19 21:00:00
227,25970,1892,Xbox Series X Console,Chicago Warehouse,449,2025-08-02 11:00:00
228,23748,2048,Azure Network Switch,LA Warehouse,498,2025-09-26 16:00:00
229,23824,1960,Surface Headphones 2,Houston Warehouse,366,2025-10-04 06:00:00
230,27086,2947,Azure Firewall Appliance,Houston Warehouse,481,2025-09-19 10:00:00
231,28123,2277,Azure Network Switch,NYC Warehouse,80,2025-07-09 14:00:00
232,27929,9206,Surface Laptop 5,Chicago Warehouse,163,2025-10-08 05:00:00
233,28580,6728,Microsoft Audio Dock,Dallas Data Center,61,2025-05-27 21:00:00
234,26934,3786,Data Center Cooling Unit,Chicago Warehouse,222,2025-07-18 19:00:00
235,23544,9436,Xbox Wireless Controller,LA Warehouse,57,2025-09-18 15:00:00
236,23324,2425,Surface Duo 2,San Francisco Data Center,78,2025-06-13 17:00:00
237,23524,9367,Azure Storage Array,Chicago Warehouse,130,2025-07-15 19:00:00
238,26253,9326,Microsoft HoloLens 2,Atlanta Distribution Hub,206,2025-09-10 08:00:00
239,21057,6401,Surface Duo 2,San Francisco Data Center,242,2025-08-10 01:00:00
240,20897,1125,Azure Storage Array,Seattle Warehouse,488,2025-05-02 07:00:00
241,22795,7389,Azure Storage Array,San Francisco Data Center,96,2025-07-21 23:00:00
242,25624,2271,Xbox Wireless Controller,San Francisco Data Center,403,2025-05-28 15:00:00
243,23092,4730,Data Center Cooling Unit,Dallas Data Center,375,2025-11-18 04:00:00
244,28869,1481,Azure GPU Node,San Francisco Data Center,390,2025-06-12 18:00:00
245,22345,2774,Surface Pen,NYC Warehouse,231,2025-05-19 14:00:00
246,20525,4693,Data Center Cooling Unit,Dallas Data Center,366,2025-11-24 20:00:00
247,23381,4195,Surface Headphones 2,NYC Warehouse,485,2025-05-26 11:00:00
248,23275,9113,Surface Go 3,Seattle Warehouse,27,2025-09-05 12:00:00
249,20605,8077,Azure Rack Server,Seattle Warehouse,385,2025-11-10 22:00:00
250,24668,7654,Microsoft Audio Dock,NYC Warehouse,215,2025-10-05 14:00:00
251,28369,1085,Surface Headphones 2,Seattle Warehouse,253,2025-07-31 21:00:00
252,26334,5405,Surface Pro 9,San Francisco Data Center,345,2025-08-07 17:00:00
253,22235,3386,Surface Go 3,Seattle Warehouse,381,2025-09-12 15:00:00
254,20649,3260,Xbox Series X Console,Seattle Warehouse,73,2025-05-11 16:00:00
255,20937,9261,Xbox Wireless Controller,Houston Warehouse,293,2025-07-21 00:00:00
256,22427,9459,Surface Duo 2,Atlanta Distribution Hub,289,2025-06-08 11:00:00
257,22507,3382,Xbox Elite Controller,Chicago Warehouse,416,2025-08-08 18:00:00
258,26874,3297,Data Center Cooling Unit,Chicago Warehouse,424,2025-09-16 15:00:00
259,26205,4547,Microsoft Modern Webcam,Houston Warehouse,152,2025-06-25 06:00:00
260,26559,2324,Surface Headphones 2,NYC Warehouse,84,2025-11-17 03:00:00
261,26612,9354,Surface Docking Station,LA Warehouse,187,2025-07-21 16:00:00
262,28080,4875,Azure GPU Node,Houston Warehouse,459,2025-06-24 14:00:00
263,23332,8483,Xbox Wireless Controller,LA Warehouse,252,2025-05-21 20:00:00
264,26094,8409,Azure Storage Array,Dallas Data Center,372,2025-08-26 10:00:00
265,29376,3068,Azure Firewall Appliance,Atlanta Distribution Hub,214,2025-06-09 08:00:00
266,24171,1303,Surface Pro 9,Houston Warehouse,232,2025-10-27 11:00:00
267,29046,7291,Surface Docking Station,San Francisco Data Center,15,2025-09-17 04:00:00
268,20079,1985,Surface Go 3,Dallas Data Center,74,2025-06-21 17:00:00
269,27844,3866,Azure Network Switch,NYC Warehouse,388,2025-05-07 18:00:00
270,23097,8476,Surface Laptop 5,Dallas Data Center,44,2025-09-03 11:00:00
271,25168,7395,Data Center Cooling Unit,Seattle Warehouse,313,2025-10-24 17:00:00
272,25993,6413,Azure Storage Array,NYC Warehouse,443,2025-11-10 03:00:00
273,27425,8820,Xbox Series X Console,Dallas Data Center,423,2025-05-21 05:00:00
274,26283,4723,Azure Storage Array,Houston Warehouse,274,2025-05-08 10:00:00
275,26697,4689,Surface Go 3,Atlanta Distribution Hub,23,2025-10-11 16:00:00
276,26523,8854,Surface Headphones 2,Houston Warehouse,163,2025-06-23 20:00:00
277,24559,8859,Xbox Elite Controller,Atlanta Distribution Hub,251,2025-11-01 00:00:00
278,27455,8528,Microsoft Modern Webcam,Dallas Data Center,468,2025-06-20 03:00:00
279,27134,2525,Azure Storage Array,Houston Warehouse,491,2025-07-11 19:00:00
280,22888,2652,Microsoft HoloLens 2,Dallas Data Center,206,2025-08-09 08:00:00
281,24671,6280,Microsoft Modern Webcam,Chicago Warehouse,43,2025-07-05 04:00:00
282,29327,7650,Xbox Series S Console,Seattle Warehouse,133,2025-07-20 17:00:00
283,22054,8878,Xbox Series X Console,LA Warehouse,92,2025-10-22 09:00:00
284,28234,8368,Surface Go 3,Atlanta Distribution Hub,383,2025-10-30 04:00:00
285,22656,8902,Xbox Series X Console,LA Warehouse,206,2025-06-05 11:00:00
286,22215,3823,Data Center Cooling Unit,LA Warehouse,248,2025-08-17 01:00:00
287,29092,5053,Azure GPU Node,San Francisco Data Center,168,2025-08-23 01:00:00
288,20254,9503,Surface Duo 2,San Francisco Data Center,388,2025-06-22 02:00:00
289,26103,1450,Microsoft HoloLens 2,Seattle Warehouse,120,2025-06-10 02:00:00
290,24608,5483,Microsoft Audio Dock,San Francisco Data Center,481,2025-09-13 20:00:00
291,25417,1049,Microsoft HoloLens 2,Houston Warehouse,373,2025-08-14 21:00:00
292,28375,3303,Surface Laptop 5,LA Warehouse,336,2025-08-17 12:00:00
293,21661,7938,Microsoft HoloLens 2,Seattle Warehouse,227,2025-11-07 00:00:00
294,23409,7728,Microsoft Audio Dock,Chicago Warehouse,383,2025-07-31 12:00:00
295,29841,8636,Microsoft HoloLens 2,LA Warehouse,227,2025-09-18 03:00:00
296,27438,7023,Surface Duo 2,Chicago Warehouse,21,2025-07-15 22:00:00
297,23360,8846,Microsoft Modern Webcam,San Francisco Data Center,77,2025-05-16 04:00:00
298,28313,7377,Surface Duo 2,NYC Warehouse,53,2025-07-24 17:00:00
299,29909,8520,Azure Storage Array,LA Warehouse,451,2025-06-02 05:00:00
300,29733,8506,Surface Pro 9,San Francisco Data Center,144,2025-08-23 22:00:00
301,26338,4596,Microsoft Modern Webcam,Houston Warehouse,278,2025-10-01 10:00:00
302,21382,3879,Azure Network Switch,Dallas Data Center,390,2025-06-16 18:00:00
303,22922,1565,Surface Pro 9,Seattle Warehouse,487,2025-09-05 11:00:00
304,25458,5956,Azure Storage Array,Seattle Warehouse,279,2025-06-10 03:00:00
305,21849,5054,Surface Pen,NYC Warehouse,139,2025-05-06 23:00:00
306,28910,6317,Azure Firewall Appliance,NYC Warehouse,309,2025-07-03 18:00:00
307,21736,2379,Surface Duo 2,Dallas Data Center,274,2025-11-10 10:00:00
308,28712,6798,Surface Go 3,Houston Warehouse,71,2025-09-27 23:00:00
309,26072,4086,Azure Rack Server,Atlanta Distribution Hub,185,2025-09-07 07:00:00
310,26672,6515,Xbox Series S Console,Houston Warehouse,469,2025-06-11 03:00:00
311,20429,4701,Azure Network Switch,Chicago Warehouse,55,2025-06-26 20:00:00
312,21124,7000,Surface Duo 2,NYC Warehouse,207,2025-06-27 04:00:00
313,29836,9260,Surface Laptop 5,Seattle Warehouse,384,2025-06-30 13:00:00
314,21795,5306,Surface Go 3,San Francisco Data Center,275,2025-05-20 16:00:00
315,26034,1969,Xbox Wireless Controller,Atlanta Distribution Hub,423,2025-08-08 22:00:00
316,27287,4049,Xbox Wireless Controller,Atlanta Distribution Hub,467,2025-10-26 11:00:00
317,28944,2305,Surface Laptop 5,San Francisco Data Center,90,2025-10-03 23:00:00
318,22000,9307,Azure GPU Node,Houston Warehouse,17,2025-05-17 16:00:00
319,22106,1780,Surface Laptop 5,LA Warehouse,255,2025-10-18 11:00:00
320,25791,9945,Surface Laptop 5,NYC Warehouse,171,2025-08-04 22:00:00
321,27091,3253,Azure Network Switch,Houston Warehouse,329,2025-07-03 02:00:00
322,26872,4592,Azure Firewall Appliance,Chicago Warehouse,309,2025-11-11 04:00:00
323,29757,4834,Azure Rack Server,LA Warehouse,154,2025-05-17 05:00:00
